doc_type_name	date	description	source_url_si	source_url_ta	source_url_en	doc_num	id	dir_data
gazettes	2025-06-27	Legal Section	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(II-0)S.pdf	None	None	2025-06-27-legal-section	2025-06-27-legal-section	data/gazettes/2025/2025-06-27-legal-section
gazettes	2025-06-27	Land Section	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(III-0)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(III-0)E.pdf	2025-06-27-land-section	2025-06-27-land-section	data/gazettes/2025/2025-06-27-land-section
gazettes	2025-06-27	IV (B) - Local Government	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(IV-B)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(IV-B)E.pdf	2025-06-27-iv-b-local-government	2025-06-27-iv-b-local-government	data/gazettes/2025/2025-06-27-iv-b-local-government
gazettes	2025-06-27	IV (A) - Provincial Councils	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(IV-A)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(IV-A)E.pdf	2025-06-27-iv-a-provincial-councils	2025-06-27-iv-a-provincial-councils	data/gazettes/2025/2025-06-27-iv-a-provincial-councils
gazettes	2025-06-27	(III) - TRADE MARKS AND PATENT NOTICES	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-III)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-III)E.pdf	2025-06-27-iii-trade-marks-and-patent-notices	2025-06-27-iii-trade-marks-and-patent-notices	data/gazettes/2025/2025-06-27-iii-trade-marks-and-patent-notices
gazettes	2025-06-27	(IIB) - Advertising	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-IIB)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-IIB)E.pdf	2025-06-27-iib-advertising	2025-06-27-iib-advertising	data/gazettes/2025/2025-06-27-iib-advertising
gazettes	2025-06-27	(IIA) - Advertising	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-IIA)S.pdf	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-IIA)T.pdf	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-IIA)E.pdf	2025-06-27-iia-advertising	2025-06-27-iia-advertising	data/gazettes/2025/2025-06-27-iia-advertising
gazettes	2025-06-27	(I) - General	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-I)S.pdf	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-I)T.pdf	https://documents.gov.lk/view/gazettes/2025/6/2025-06-27(I-I)E.pdf	2025-06-27-i-general	2025-06-27-i-general	data/gazettes/2025/2025-06-27-i-general
extra-gazettes	2025-06-26	Divisional Secretatiat Kamburupitiya Pilgrmages Ordinance (Chapter 175) Annual Esala Festival 2025 of Ilangamgoda Ancient Rajamaha Viharaya, Sapugoda Kaburupitiya	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-49_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-49_E.pdf	2442/49	2442-49	data/extra-gazettes/2025/2442-49
extra-gazettes	2025-06-26	Dept of Local Government Sabaragamuwa Province - Appointed Chairman and Vice Chairman for 02 Local Government Institutions	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-47_S.pdf	None	None	2442/47	2442-47	data/extra-gazettes/2025/2442-47
extra-gazettes	2025-06-26	Dept. of Local Government - N. W. P - Notice under section 66 (c) Appointed Chairman, Vice Chairman, Mayor and Deputy Mayor for 14 Local Government Institutions.	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-46_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-46_E.pdf	2442/46	2442-46	data/extra-gazettes/2025/2442-46
extra-gazettes	2025-06-26	Dept of Local Government Sabaragamuwa Province - Appointed Chairman and Vice Chairman to the 04 Local Government Institutions	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-45_S.pdf	None	None	2442/45	2442-45	data/extra-gazettes/2025/2442-45
extra-gazettes	2025-06-24	Land Aquisition - Uppuweli, Town and Gravets  D/S Division, Trincomalee District.	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-32_T.pdf	None	2442/32	2442-32	data/extra-gazettes/2025/2442-32
extra-gazettes	2025-06-24	Sri Lanka Parliament - Convening of the Parliament of the Democratic Socialist Republic of Sri Lanka on Monday, the 30th of June, 2025 at 9.30 a.m.	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-30_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-30_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-30_E.pdf	2442/30	2442-30	data/extra-gazettes/2025/2442-30
extra-gazettes	2025-06-24	Dept. of Census and Statistics National Consumer Price Index - May 2025	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-29_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-29_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-29_E.pdf	2442/29	2442-29	data/extra-gazettes/2025/2442-29
bills	2025-06-23	National Audit (Amendment) - GS	https://documents.gov.lk/view/bills/2025/6/611-2025_S.pdf	https://documents.gov.lk/view/bills/2025/6/611-2025_T.pdf	https://documents.gov.lk/view/bills/2025/6/611-2025_E.pdf	611/2025	611-2025	data/bills/2025/611-2025
extra-gazettes	2025-06-23	Presidential Secretariat - Appointed Mr. K.G.P. Pushpakumara, as the Chief Secretary of the Western Province with effect from 09 the June 2025	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-16_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-16_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-16_E.pdf	2442/16	2442-16	data/extra-gazettes/2025/2442-16
extra-gazettes	2025-06-23	Dept of Local Government - Western Province - Appointed Chairman and Vice Chairman for 06 Local Goverment Institutions - 2025	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-02_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-02_E.pdf	2442/02	2442-02	data/extra-gazettes/2025/2442-02
extra-gazettes	2025-06-23	Sri Lanka Customs - Rates of Exchange with effect from 23.06.2025 to 29.06.2025	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-01_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-01_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2442-01_E.pdf	2442/01	2442-01	data/extra-gazettes/2025/2442-01
extra-gazettes	2025-06-21	Land Title Settlement Dept. - Aluthgama Bogamuwa, Gampaha D/S Division, Gampaha District (25/0060)	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-71_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-71_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-71_E.pdf	2441/71	2441-71	data/extra-gazettes/2025/2441-71
extra-gazettes	2025-06-21	Land Title Settlement Dept. - Kaudana, Four Deh D/S Division, Colombo District - (7826)	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-64_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-64_E.pdf	2441/64	2441-64	data/extra-gazettes/2025/2441-64
extra-gazettes	2025-06-21	National Physical Planning Department Ã¢â¬â The Town and Country Planning Ordinance (Chapter 269) -Declare that Land called Maha Kappina Seemamalaka Viharaya call as an Urban Development area	None	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-60_E.pdf	2441/60	2441-60	data/extra-gazettes/2025/2441-60
extra-gazettes	2025-06-21	National Physical Planning Department Ã¢â¬â The Town and Country Planning Ordinance (Chapter 269) -Declare that Land called Maha Manthinda Priven Viharaya as an Urban Development area	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-59_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-59_E.pdf	2441/59	2441-59	data/extra-gazettes/2025/2441-59
extra-gazettes	2025-06-21	National Physical Planning Department Ã¢â¬â The Town and Country Planning Ordinance (Chapter 269) -Declare that Land called Dickwella Deegawalukarama Rajamaha Vihara as an Urban Development area	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-58_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-58_E.pdf	2441/58	2441-58	data/extra-gazettes/2025/2441-58
extra-gazettes	2025-06-21	National Physical Planning Department Town and Country Planning Ordinance (Chapter 269) Declare that the Land called Purana Athkanda Rajamaha Viharaya called as an Urban Development Area	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-57_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-57_E.pdf	2441/57	2441-57	data/extra-gazettes/2025/2441-57
extra-gazettes	2025-06-20	Election Commission - Local Authorities Election - 2025 Notice Under Section 66(2) Elected to the Members for Dehiwala - Mount Lavinia M/C Kotikawatta - Mulleriyawa P.S, Homagama P.S and Weeraketiya Pradeshiya Sabha.	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-55_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-55_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-55_E.pdf	2441/55	2441-55	data/extra-gazettes/2025/2441-55
extra-gazettes	2025-06-20	Land Title Settlement Dept. - Halpugala, Bope Poddala D/S Division, Galle District - (25/0186)	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-52_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-52_E.pdf	2441/52	2441-52	data/extra-gazettes/2025/2441-52
extra-gazettes	2025-06-20	Land Title Settlement Dept. - Doratiyawa, Mallavapitiya D/S Division, Kurunegala District - (25/5514102)	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-50_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-50_E.pdf	2441/50	2441-50	data/extra-gazettes/2025/2441-50
extra-gazettes	2025-06-20	Land Title Settlement Dept. - Horagolla, Gampaha D/S Division, Gampaha District - (25/0105)	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-48_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-48_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-48_E.pdf	2441/48	2441-48	data/extra-gazettes/2025/2441-48
extra-gazettes	2025-06-20	Land Aquisition -Madawala, Pathadumbara D/S Division, Kandy District, Sec 07	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-47_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-47_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-47_E.pdf	2441/47	2441-47	data/extra-gazettes/2025/2441-47
extra-gazettes	2025-06-20	Meditation Boards Commission- Notice Calling for Nominations for the Appointments of Mediators- Gampaha District	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-46_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-46_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-46_E.pdf	2441/46	2441-46	data/extra-gazettes/2025/2441-46
extra-gazettes	2025-06-20	Meditation Boards Commission- Notice Calling for Nominations for the Appointments of Mediators	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-45_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-45_E.pdf	2441/45	2441-45	data/extra-gazettes/2025/2441-45
extra-gazettes	2025-06-20	Bibila Pradeshiya Sabha Roads and Narrow Paths - 2nd Gazette	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-44_S.pdf	None	None	2441/44	2441-44	data/extra-gazettes/2025/2441-44
