doc_type_name	date	description	source_url_si	source_url_ta	source_url_en	doc_num	id	dir_data
extra-gazettes	2025-06-18	Land Aquisition - Matale D/S Division, Matale District - Sec 33Land Aquisition - Thaldeniya, Medadumbara D/S Division, Kandy District - Sec 33	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-26_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-26_E.pdf	2441/26	2441-26	data/extra-gazettes/2025/2441-26
extra-gazettes	2025-06-18	Land Aquisition - Thissawawawaththa,Nuwaragampalatha Central D/S Division, Anuradhapura District - Sec 33Land Aquisition - Thissawawawaththa,Nuwaragampalatha Central D/S Division, Anuradhapura District - Sec 33	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-25_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-25_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-25_E.pdf	2441/25	2441-25	data/extra-gazettes/2025/2441-25
extra-gazettes	2025-06-18	Land Aquisition - Thissawawawaththa,Nuwaragampalatha Central D/S Division, Anuradhapura District - Sec 33Land Aquisition - Thissawawawaththa,Nuwaragampalatha Central D/S Division, Anuradhapura District - Sec 33	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-24_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-24_E.pdf	2441/24	2441-24	data/extra-gazettes/2025/2441-24
extra-gazettes	2025-06-18	Sri Lanka Railways Welfare Society Act (Authority 285) Regulations	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-23_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-23_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-23_E.pdf	2441/23	2441-23	data/extra-gazettes/2025/2441-23
extra-gazettes	2025-06-18	Election Commission - Notice Under Section 66A (1) (a) Appointed Mr.Gama Athige Ariyadasa as a Member of the Balangoda Pradeshiya Sabha.	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-20_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-20_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-20_E.pdf	2441/20	2441-20	data/extra-gazettes/2025/2441-20
extra-gazettes	2025-06-18	Land Aquisition - Paathamulla, Paduwasnuwara D/S Division, Kurunegala District - Amendment. Walasmulla D/S Division, Kurunegal District - Amendment. Walasmulla D/S Division, Kurunegal District Sec 07	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-19_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-19_E.pdf	2441/19	2441-19	data/extra-gazettes/2025/2441-19
extra-gazettes	2025-06-18	Ministry of Education - Universities Act, No. 16 of 1978 degree Awarding Institute Order Sri Lanka Institute of Information Technology (Guarantee). Limited Jaffna Branch	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-17_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-17_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-17_E.pdf	2441/17	2441-17	data/extra-gazettes/2025/2441-17
extra-gazettes	2025-06-18	Ministry of Higher Education - The Universities Act No. 16 of 1978 Degree Awarding Institute Order Sri Lanka Institute of Information Technology (Guarantee)  Limited - kandy Branch	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-16_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-16_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-16_E.pdf	2441/16	2441-16	data/extra-gazettes/2025/2441-16
extra-gazettes	2025-06-18	Ministry of Education - Universities Act, No. 16 of 1978 degree Awarding Institute Order CINEC Campus (Private) Limited	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-15_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-15_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-15_E.pdf	2441/15	2441-15	data/extra-gazettes/2025/2441-15
extra-gazettes	2025-06-18	Election Commission - Notice under Section 66A (1)(a) Appointed Mr. N.M. Neel Navarathna as a Member of Karuwalagaswewa Pradeshiya Sabha	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-13_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-13_E.pdf	2441/13	2441-13	data/extra-gazettes/2025/2441-13
extra-gazettes	2025-06-18	Dept. of Local Government - Sabaragamuwa P.C Appointed Chairman, Vice Chairman Mayor and Deputy Mayor of Local Government Institutions	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-12_S.pdf	None	None	2441/12	2441-12	data/extra-gazettes/2025/2441-12
bills	2025-06-17	Samurdhi (Amendment) - Bill	https://documents.gov.lk/view/bills/2025/6/614-2025_S.pdf	https://documents.gov.lk/view/bills/2025/6/614-2025_T.pdf	https://documents.gov.lk/view/bills/2025/6/614-2025_E.pdf	614/2025	614-2025	data/bills/2025/614-2025
bills	2025-06-17	Gambling Regulatory Authority - Bill	https://documents.gov.lk/view/bills/2025/6/613-2025_S.pdf	https://documents.gov.lk/view/bills/2025/6/613-2025_T.pdf	https://documents.gov.lk/view/bills/2025/6/613-2025_E.pdf	613/2025	613-2025	data/bills/2025/613-2025
bills	2025-06-17	Bills of Exchange (Amendment) - Bill	https://documents.gov.lk/view/bills/2025/6/612-2025_S.pdf	https://documents.gov.lk/view/bills/2025/6/612-2025_T.pdf	https://documents.gov.lk/view/bills/2025/6/612-2025_E.pdf	612/2025	612-2025	data/bills/2025/612-2025
extra-gazettes	2025-06-17	Election Commission - Declare that U.J.M. Afras was elected as the member of the No. 3 Galbokka of Weligama Urban Council.	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-11_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-11_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-11_E.pdf	2441/11	2441-11	data/extra-gazettes/2025/2441-11
extra-gazettes	2025-06-17	Ministry of Public Administration, Provincial Councils and Local Government - Pilgrimages Ordinance. Regulations of Annual  Esala Perahera Ceremony of Sri Saddharmathilaka Viharasthanaya - Kandy.	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-10_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-10_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-10_E.pdf	2441/10	2441-10	data/extra-gazettes/2025/2441-10
extra-gazettes	2025-06-17	Ministry of Defence - General Sir John Kotelawala Defence University. Amendments to the Closing Date.	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-09_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-09_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-09_E.pdf	2441/09	2441-09	data/extra-gazettes/2025/2441-09
extra-gazettes	2025-06-17	Land Aquisition - Rangallepola, Narammala D/S Division, Kurunegala District	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-08_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/6/2441-08_E.pdf	2441/08	2441-08	data/extra-gazettes/2025/2441-08
