doc_type_name	doc_id	year	lang_code
bills	610-2025	2025	si
bills	610-2025	2025	ta
bills	610-2025	2025	en
bills	590-2025	2025	si
bills	590-2025	2025	ta
bills	590-2025	2025	en
bills	599-2025	2025	si
bills	599-2025	2025	ta
bills	599-2025	2025	en
bills	593-2025	2025	si
bills	593-2025	2025	en
bills	600-2025	2025	si
bills	600-2025	2025	ta
bills	600-2025	2025	en
bills	615-2025	2025	si
bills	615-2025	2025	ta
bills	615-2025	2025	en
bills	606-2025	2025	si
bills	606-2025	2025	ta
bills	606-2025	2025	en
bills	614-2025	2025	si
bills	614-2025	2025	ta
bills	614-2025	2025	en
bills	604-2025	2025	si
bills	604-2025	2025	ta
bills	604-2025	2025	en
bills	601-2025	2025	si
bills	601-2025	2025	ta
bills	601-2025	2025	en
bills	577-2025	2025	si
bills	577-2025	2025	ta
bills	577-2025	2025	en
bills	585-2025	2025	si
bills	585-2025	2025	ta
bills	585-2025	2025	en
bills	574-2025	2025	si
bills	574-2025	2025	ta
bills	574-2025	2025	en
bills	569-2025	2025	si
bills	569-2025	2025	ta
bills	569-2025	2025	en
bills	584-2025	2025	si
bills	584-2025	2025	ta
bills	584-2025	2025	en
bills	586-2025	2025	si
bills	586-2025	2025	ta
bills	586-2025	2025	en
bills	592-2025	2025	si
bills	592-2025	2025	ta
bills	592-2025	2025	en
bills	598-2025	2025	si
bills	598-2025	2025	ta
bills	598-2025	2025	en
bills	582-2025	2025	si
bills	582-2025	2025	ta
bills	582-2025	2025	en
bills	595-2025	2025	si
bills	595-2025	2025	ta
bills	595-2025	2025	en
bills	580-2025	2025	si
bills	580-2025	2025	ta
bills	580-2025	2025	en
bills	581-2025	2025	si
bills	581-2025	2025	ta
bills	581-2025	2025	en
bills	575-2025	2025	si
bills	575-2025	2025	ta
bills	575-2025	2025	en
bills	591-2025	2025	si
bills	591-2025	2025	ta
bills	591-2025	2025	en
bills	578-2025	2025	si
bills	578-2025	2025	ta
bills	578-2025	2025	en
bills	612-2025	2025	si
bills	612-2025	2025	ta
bills	612-2025	2025	en
bills	617-2025	2025	si
bills	617-2025	2025	ta
bills	617-2025	2025	en
bills	596-2025	2025	si
bills	596-2025	2025	ta
bills	596-2025	2025	en
bills	576-2025	2025	si
bills	576-2025	2025	ta
bills	576-2025	2025	en
bills	597-2025	2025	si
bills	597-2025	2025	ta
bills	597-2025	2025	en
bills	572-2025	2025	si
bills	572-2025	2025	ta
bills	572-2025	2025	en
bills	609-2025	2025	si
bills	609-2025	2025	ta
bills	609-2025	2025	en
bills	560-2025	2025	si
bills	560-2025	2025	ta
bills	560-2025	2025	en
bills	605-2025	2025	si
bills	605-2025	2025	ta
bills	605-2025	2025	en
bills	616-2025	2025	si
bills	616-2025	2025	ta
bills	616-2025	2025	en
bills	587-2025	2025	si
bills	587-2025	2025	ta
bills	587-2025	2025	en
bills	608-2025	2025	si
bills	608-2025	2025	ta
bills	608-2025	2025	en
bills	573-2025	2025	si
bills	573-2025	2025	ta
bills	573-2025	2025	en
bills	571-2025	2025	si
bills	571-2025	2025	ta
bills	571-2025	2025	en
bills	603-2025	2025	si
bills	603-2025	2025	ta
bills	603-2025	2025	en
bills	583-2025	2025	si
bills	583-2025	2025	ta
bills	583-2025	2025	en
bills	594-2025	2025	si
bills	594-2025	2025	ta
bills	594-2025	2025	en
bills	611-2025	2025	si
bills	611-2025	2025	ta
bills	611-2025	2025	en
bills	579-2025	2025	si
bills	579-2025	2025	ta
bills	579-2025	2025	en
bills	570-2025	2025	si
bills	570-2025	2025	ta
bills	570-2025	2025	en
bills	589-2025	2025	si
bills	589-2025	2025	ta
bills	589-2025	2025	en
bills	613-2025	2025	si
bills	613-2025	2025	ta
bills	613-2025	2025	en
bills	602-2025	2025	si
bills	602-2025	2025	ta
bills	602-2025	2025	en
bills	607-2025	2025	si
bills	607-2025	2025	ta
bills	607-2025	2025	en
bills	588-2025	2025	si
bills	588-2025	2025	ta
bills	588-2025	2025	en
acts	06-2025	2025	si
acts	06-2025	2025	ta
acts	06-2025	2025	en
acts	05-2025	2025	si
acts	05-2025	2025	ta
acts	05-2025	2025	en
acts	07-2025	2025	si
acts	07-2025	2025	ta
acts	07-2025	2025	en
acts	03-2025	2025	si
acts	03-2025	2025	ta
acts	03-2025	2025	en
acts	04-2025	2025	si
